# step cn weight_eV
500 2.445668 2.0728610665e-02
1000 2.510141 1.9673953603e-02
1500 2.451136 1.8615015387e-02
2000 2.543905 1.7990035062e-02
2500 2.620748 1.8000188302e-02
3000 2.551422 1.6428782984e-02
3500 2.612400 1.6321082653e-02
4000 2.611023 1.5583017640e-02
4500 2.536088 1.4462547444e-02
5000 2.473346 1.4332758809e-02
5500 2.440017 1.4291578038e-02
6000 2.563400 1.3125202458e-02
6500 2.486143 1.2719053096e-02
7000 2.513370 1.2114344672e-02
7500 2.426474 1.2856342337e-02
8000 2.444194 1.2053064376e-02
8500 2.471365 1.1270604092e-02
9000 2.527787 1.0740047531e-02
9500 2.569632 1.0822358092e-02
10000 2.563448 1.0419344436e-02
10500 2.593550 1.0616345491e-02
11000 2.528705 9.5937705924e-03
11500 2.545480 9.4184919720e-03
12000 2.507637 9.1261831024e-03
12500 2.540274 8.9231686363e-03
13000 2.344576 1.2847631167e-02
13500 2.625620 1.0114572525e-02
14000 2.569452 8.6499648427e-03
14500 2.343125 1.2304685503e-02
15000 2.479289 8.2045505152e-03
15500 2.273586 1.4697391846e-02
16000 2.307781 1.2701458471e-02
16500 2.589959 8.4610463288e-03
17000 2.479451 7.6135147854e-03
17500 2.517125 7.3296181350e-03
18000 2.448915 7.6761908000e-03
18500 2.011183 2.0198402818e-02
19000 1.874506 1.9928737386e-02
19500 1.938246 1.8606860525e-02
20000 1.779909 1.8908272014e-02
20500 1.813682 1.7624349159e-02
21000 1.752632 1.7444171219e-02
21500 1.740203 1.6783937117e-02
22000 1.729583 1.6165615721e-02
22500 1.790951 1.4901111283e-02
23000 1.768761 1.4440395566e-02
23500 1.837711 1.3770302912e-02
24000 1.853679 1.3349941358e-02
24500 1.855003 1.2875935501e-02
25000 1.777657 1.2514661726e-02
25500 1.843258 1.1975274293e-02
26000 1.872482 1.1836183872e-02
26500 1.842496 1.1216112157e-02
27000 1.969528 1.3067636198e-02
27500 1.923500 1.1553032573e-02
28000 1.876560 1.0508909073e-02
28500 1.882006 1.0262347492e-02
29000 1.993700 1.2319495411e-02
29500 1.855176 9.5699922586e-03
30000 1.875903 9.4221589379e-03
30500 1.868869 9.1353199858e-03
31000 1.901627 9.2139354380e-03
31500 2.008344 1.1488227792e-02
32000 1.930767 9.1970852029e-03
32500 1.952354 9.3952550182e-03
33000 1.793649 8.6615793313e-03
33500 1.930129 8.5911333453e-03
34000 1.931043 8.4052025995e-03
34500 2.077307 1.2331611313e-02
35000 1.980372 9.0453766517e-03
35500 1.939028 7.9751400101e-03
36000 1.879038 7.2522653906e-03
36500 1.829697 7.2968107087e-03
37000 1.929655 7.3975908580e-03
37500 1.785439 7.7253064537e-03
38000 1.617816 1.3985803586e-02
38500 1.574287 1.5378591947e-02
39000 1.621367 1.2767095410e-02
39500 1.622850 1.2263589899e-02
40000 1.636374 1.1321954746e-02
40500 1.652084 1.0389967331e-02
41000 1.522233 1.5107410844e-02
41500 1.633704 1.0427893343e-02
42000 1.635044 1.0087017620e-02
42500 1.729020 7.3194728828e-03
43000 1.669328 8.6027844057e-03
43500 1.607703 1.0347044338e-02
44000 1.588002 1.0745971719e-02
44500 1.736918 6.6205437218e-03
45000 1.683898 7.4975426688e-03
45500 1.591477 1.0020480389e-02
46000 1.646441 8.0726431642e-03
46500 1.540112 1.1440124987e-02
47000 1.661799 7.3432462984e-03
47500 1.611371 8.4864513618e-03
48000 1.551282 1.0274789133e-02
48500 1.300804 1.9084733103e-02
49000 1.336630 1.7319465565e-02
49500 1.391655 1.5055539704e-02
50000 1.601789 8.0761155804e-03
50500 1.581365 8.4196746514e-03
51000 1.458285 1.2036996072e-02
51500 1.678490 6.1791365958e-03
52000 1.164343 1.8975049545e-02
52500 1.036970 1.9556122949e-02
53000 1.019287 1.8689865153e-02
53500 1.017066 1.7768709913e-02
54000 1.036487 1.6768600291e-02
54500 0.984506 1.6494899194e-02
55000 1.029210 1.5375238778e-02
55500 1.038890 1.4689481384e-02
56000 0.883008 1.6575877550e-02
56500 0.923726 1.4963242674e-02
57000 0.931622 1.4215288376e-02
57500 0.964378 1.3213525203e-02
58000 0.821929 1.5864905278e-02
58500 0.823478 1.5141839789e-02
59000 0.931289 1.2353027770e-02
59500 0.910487 1.2218134307e-02
60000 0.869294 1.2580350436e-02
60500 0.913364 1.1385208648e-02
61000 0.911660 1.1054555743e-02
61500 0.893148 1.0993273464e-02
62000 0.825857 1.2214129511e-02
62500 0.929873 9.9545803424e-03
63000 0.823394 1.1627660369e-02
63500 0.872076 1.0119373503e-02
64000 0.906355 9.3686243168e-03
64500 0.926152 8.9875392981e-03
65000 0.917283 8.8181718523e-03
65500 0.953954 8.5246506799e-03
66000 0.954994 8.3285465288e-03
66500 0.952167 8.1335016665e-03
67000 0.959351 7.9705165720e-03
67500 0.887641 8.2075581933e-03
68000 0.794410 1.0477584272e-02
68500 0.653838 1.6178712174e-02
69000 0.942250 7.4267955831e-03
69500 0.961187 7.3375375287e-03
70000 0.929817 7.1392835482e-03
70500 1.013294 7.6577342057e-03
71000 0.972524 6.9864261276e-03
71500 0.979688 6.9135412213e-03
72000 1.017630 7.2993153654e-03
72500 1.116868 9.8563147632e-03
73000 1.125158 9.8693976571e-03
73500 1.153711 1.0556359295e-02
74000 1.167785 1.0708413695e-02
74500 1.121459 8.9600216682e-03
75000 1.152931 9.6932219784e-03
75500 1.106772 8.1129446170e-03
76000 1.120919 8.3121143958e-03
76500 1.110299 7.8436647182e-03
77000 1.216614 1.0731166149e-02
77500 1.045080 6.2592032651e-03
78000 1.125032 7.7464143545e-03
78500 1.246518 1.0945004332e-02
79000 1.117497 7.2447311975e-03
79500 1.180082 8.6833785961e-03
80000 1.273225 1.0872725187e-02
80500 1.280621 1.0701487448e-02
81000 1.366629 1.1360249500e-02
81500 1.343134 1.0908568562e-02
82000 1.398788 1.0644938986e-02
82500 1.358620 1.0365539241e-02
83000 1.304564 9.6906398992e-03
83500 1.211159 8.0518400485e-03
84000 1.233125 8.2457485506e-03
84500 1.243967 8.2330182994e-03
85000 1.194549 7.2637292558e-03
85500 1.309828 8.8166520617e-03
86000 1.341761 8.9297469728e-03
86500 1.375044 8.9357305190e-03
87000 1.396117 8.7917141263e-03
87500 1.293245 7.8831907903e-03
88000 1.197754 6.6571209335e-03
88500 1.288890 7.5532138366e-03
89000 1.360268 8.0351210115e-03
89500 1.240046 6.7705609966e-03
90000 1.157897 5.8567413907e-03
90500 1.226242 6.4149186888e-03
91000 1.247861 6.5165989685e-03
91500 1.397201 7.7824775641e-03
92000 1.335940 7.1428958420e-03
92500 1.215396 5.9407819360e-03
93000 1.345005 7.0032709518e-03
93500 1.410278 7.3691642964e-03
94000 1.260606 6.0481420701e-03
94500 1.126393 5.1040250793e-03
95000 1.214776 5.5555171675e-03
95500 1.160029 5.1371043465e-03
96000 1.117831 4.8634054573e-03
96500 1.089181 4.6999461679e-03
97000 1.134133 4.8091285425e-03
