# step cn weight_eV
500 2.721729 2.0728610665e-02
1000 2.641162 1.9725954652e-02
1500 2.697354 1.8619029339e-02
2000 2.672896 1.7692434190e-02
2500 2.665940 1.6863407868e-02
3000 2.684460 1.6078319735e-02
3500 2.674561 1.5382932469e-02
4000 2.667590 1.4756809584e-02
4500 2.613167 1.4644017559e-02
5000 2.701251 1.3734545619e-02
5500 2.691338 1.3170125900e-02
6000 2.686019 1.2682273929e-02
6500 2.730074 1.2616779079e-02
7000 2.688384 1.1848008320e-02
7500 2.736616 1.1904221602e-02
8000 2.717952 1.1282775013e-02
8500 2.701121 1.0814956479e-02
9000 2.689725 1.0464171180e-02
9500 2.703393 1.0209522516e-02
10000 2.705973 9.9398764188e-03
10500 2.684318 9.6191745280e-03
11000 2.623208 1.0017980560e-02
11500 2.632714 9.5725956426e-03
12000 2.589210 1.0311164149e-02
12500 2.697804 8.7438756368e-03
13000 2.676856 8.4969219820e-03
13500 2.511816 1.2579767885e-02
14000 2.727432 8.5284762813e-03
14500 2.687629 7.9749261527e-03
15000 2.704566 7.8904136043e-03
15500 2.652124 7.7461080691e-03
16000 2.617725 8.0601902210e-03
16500 2.678955 7.3144495230e-03
17000 2.702469 7.2619313547e-03
17500 2.704783 7.1359893462e-03
18000 2.611897 7.5976625399e-03
18500 2.484858 1.2244963811e-02
19000 2.528585 9.8492504328e-03
19500 2.374495 1.6648640069e-02
20000 2.362421 1.6339067585e-02
20500 2.368120 1.5423352331e-02
21000 2.326428 1.6067529580e-02
21500 2.447157 1.1522385407e-02
22000 2.398405 1.2807276712e-02
22500 2.208177 1.7721217391e-02
23000 2.057976 1.9528661469e-02
23500 2.079857 1.8246541925e-02
24000 1.893361 1.9521471810e-02
24500 1.869565 1.8727022546e-02
25000 1.785032 1.8674128786e-02
25500 1.980206 1.6647816888e-02
26000 1.808105 1.7087376310e-02
26500 1.861932 1.5784431347e-02
27000 1.861016 1.5117118037e-02
27500 1.909157 1.4336862286e-02
28000 1.875230 1.3872411612e-02
28500 1.876501 1.3344424309e-02
29000 1.824712 1.3356482306e-02
