# step cn bias_eV energy_eV temperature_K
500 2.445668 0.0000000000e+00 -275289.156250 292.29
1000 2.510141 1.8899618395e-02 -275290.000000 286.72
1500 2.451136 3.8924028980e-02 -275288.468750 302.65
2000 2.543905 5.1284060235e-02 -275288.406250 287.94
2500 2.620748 5.1079852518e-02 -275289.187500 294.92
3000 2.551422 8.4141009262e-02 -275287.625000 305.91
3500 2.612400 8.6521470472e-02 -275286.906250 310.52
4000 2.611023 1.0327003678e-01 -275286.187500 280.49
4500 2.536088 1.3027685424e-01 -275287.812500 312.14
5000 2.473346 1.3353950006e-01 -275288.812500 311.85
5500 2.440017 1.3458088517e-01 -275289.812500 308.70
6000 2.563400 1.6539404241e-01 -275287.406250 290.48
6500 2.486143 1.7677056499e-01 -275288.343750 314.96
7000 2.513370 1.9440038026e-01 -275289.281250 314.23
7500 2.426474 1.7288485532e-01 -275287.375000 285.62
8000 2.444194 1.9623583517e-01 -275288.406250 317.94
8500 2.471365 2.2052879757e-01 -275287.843750 289.38
9000 2.527787 2.3798038554e-01 -275288.093750 297.26
9500 2.569632 2.3521718446e-01 -275287.375000 331.74
10000 2.563448 2.4895237176e-01 -275287.000000 298.57
10500 2.593550 2.4217320191e-01 -275287.875000 295.13
11000 2.528705 2.7882956450e-01 -275287.812500 327.67
11500 2.545480 2.8550315379e-01 -275287.468750 287.99
12000 2.507637 2.9691381376e-01 -275287.718750 294.16
12500 2.540274 3.0505590041e-01 -275288.875000 301.04
13000 2.344576 1.7313017269e-01 -275287.875000 319.00
13500 2.625620 2.5969689275e-01 -275289.218750 274.09
14000 2.569452 3.1631035721e-01 -275288.750000 324.52
14500 2.343125 1.8875797374e-01 -275288.468750 284.44
15000 2.479289 3.3544415031e-01 -275288.218750 280.85
15500 2.273586 1.2444703600e-01 -275288.375000 308.37
16000 2.307781 1.7727157662e-01 -275289.000000 316.33
16500 2.589959 3.2430259728e-01 -275288.843750 295.75
17000 2.479451 3.6250333022e-01 -275287.687500 280.92
17500 2.517125 3.7625713628e-01 -275289.468750 290.99
18000 2.448915 3.5953606264e-01 -275290.093750 297.97
18500 2.011183 9.3780473690e-03 -275289.062500 315.82
19000 1.874506 1.4242630547e-02 -275289.218750 291.39
19500 1.938246 3.9082617015e-02 -275288.031250 292.25
20000 1.779909 3.3266747020e-02 -275289.375000 282.36
20500 1.813682 5.8716819551e-02 -275289.531250 285.13
21000 1.752632 6.2435938129e-02 -275289.625000 273.03
21500 1.740203 7.6400295472e-02 -275288.187500 294.95
22000 1.729583 8.9985549538e-02 -275288.156250 299.09
22500 1.790951 1.1946483086e-01 -275290.593750 289.39
23000 1.768761 1.3083163398e-01 -275287.468750 279.62
23500 1.837711 1.4802871524e-01 -275287.875000 298.21
