# step cn bias_eV energy_eV temperature_K
500 2.721729 0.0000000000e+00 -273324.562500 293.05
1000 2.641162 1.7944253733e-02 -273323.500000 310.64
1500 2.697354 3.8845994972e-02 -273324.031250 297.86
2000 2.672896 5.7321341337e-02 -273324.156250 324.47
2500 2.665940 7.4690637061e-02 -273322.218750 303.27
3000 2.684460 9.1945293421e-02 -273324.937500 289.41
3500 2.674561 1.0794726503e-01 -273323.375000 295.29
4000 2.667590 1.2298680529e-01 -273322.906250 296.69
4500 2.613167 1.2576378689e-01 -273324.593750 277.92
5000 2.701251 1.4896975429e-01 -273324.593750 308.94
5500 2.691338 1.6415739221e-01 -273323.000000 287.53
6000 2.686019 1.7781865314e-01 -273323.875000 267.29
6500 2.730074 1.7969259401e-01 -273323.750000 280.28
7000 2.688384 2.0244621113e-01 -273325.312500 311.95
7500 2.736616 2.0073309267e-01 -273324.656250 321.10
8000 2.717952 2.2013816910e-01 -273326.093750 293.79
8500 2.701121 2.3546479839e-01 -273323.812500 291.38
9000 2.689725 2.4739860338e-01 -273324.656250 308.54
9500 2.703393 2.5631516300e-01 -273323.843750 291.07
10000 2.705973 2.6600262470e-01 -273323.718750 301.07
10500 2.684318 2.7787246004e-01 -273324.093750 303.79
11000 2.623208 2.6316983457e-01 -273324.687500 279.38
11500 2.632714 2.7962927871e-01 -273323.062500 305.59
12000 2.589210 2.5272978190e-01 -273323.593750 304.02
12500 2.697804 3.1240216174e-01 -273323.031250 285.34
13000 2.676856 3.2277123244e-01 -273324.031250 301.32
13500 2.511816 1.8075586609e-01 -273323.562500 304.02
14000 2.727432 3.2142966105e-01 -273323.875000 310.36
14500 2.687629 3.4571803490e-01 -273323.437500 287.46
15000 2.704566 3.4957395438e-01 -273324.656250 276.13
15500 2.652124 3.5625442712e-01 -273324.218750 290.55
16000 2.617725 3.4186901589e-01 -273322.718750 298.19
16500 2.678955 3.7700692051e-01 -273322.656250 300.41
17000 2.702469 3.7961495763e-01 -273322.312500 302.37
17500 2.704783 3.8594685610e-01 -273321.500000 290.08
18000 2.611897 3.6325769281e-01 -273323.156250 314.95
18500 2.484858 1.9051889402e-01 -273323.812500 313.80
19000 2.528585 2.6931760671e-01 -273323.843750 289.46
19500 2.374495 7.9329656264e-02 -273323.281250 299.67
20000 2.362421 8.6122865509e-02 -273323.468750 308.72
20500 2.368120 1.0699751837e-01 -273322.750000 306.65
21000 2.326428 9.2188264627e-02 -273321.093750 307.91
21500 2.447157 2.1253244561e-01 -273321.750000 298.13
22000 2.398405 1.7426877852e-01 -273321.781250 307.44
22500 2.208177 5.6733012003e-02 -273322.468750 310.08
23000 2.057976 2.1582373813e-02 -273323.343750 315.38
23500 2.079857 4.6160036828e-02 -273323.093750 288.05
24000 1.893361 2.1715645459e-02 -273324.187500 296.77
24500 1.869565 3.6752822655e-02 -273322.750000 296.34
25000 1.785032 3.7776520506e-02 -273324.906250 283.32
25500 1.980206 7.9347551996e-02 -273323.718750 281.67
26000 1.808105 6.9915395477e-02 -273323.906250 322.42
26500 1.861932 9.8622018586e-02 -273324.843750 290.78
27000 1.861016 1.1425598168e-01 -273322.937500 281.93
27500 1.909157 1.3343589474e-01 -273323.718750 313.18
28000 1.875230 1.4535487126e-01 -273322.562500 300.80
28500 1.876501 1.5939892103e-01 -273323.000000 272.24
29000 1.824712 1.5907203134e-01 -273324.468750 300.25
29500 1.881523 1.8577361432e-01 -273324.312500 303.38
30000 1.937796 1.9312138935e-01 -273324.406250 320.24
30500 1.921235 2.0850462717e-01 -273323.562500 300.16
31000 1.897606 2.2182310393e-01 -273323.125000 305.72
31500 2.024587 1.8774737427e-01 -273324.312500 302.51
32000 1.935312 2.3867505273e-01 -273323.625000 311.66
32500 2.067774 1.8239624458e-01 -273323.625000 294.56
33000 1.868358 2.5159863102e-01 -273323.031250 293.51
33500 1.994136 2.4495080087e-01 -273323.812500 295.81
34000 1.990004 2.5765935936e-01 -273324.687500 323.18
34500 1.936560 2.8632807819e-01 -273322.781250 311.67
35000 1.919264 2.9702412674e-01 -273324.468750 298.83
35500 1.954225 3.0064910877e-01 -273321.781250 284.48
36000 1.990901 2.9307263663e-01 -273323.062500 270.47
36500 1.993034 3.0103930599e-01 -273324.437500 290.23
37000 2.048461 2.6886952485e-01 -273323.937500 286.42
37500 2.271691 1.5375223634e-01 -273324.968750 305.15
38000 2.250405 1.6780247925e-01 -273325.218750 295.48
38500 2.403469 2.2370077170e-01 -273324.937500 286.63
39000 2.191437 1.9864457888e-01 -273326.437500 322.13
39500 2.383457 2.2807207621e-01 -273324.781250 289.80
40000 2.463467 2.9400959927e-01 -273323.937500 304.03
40500 2.263268 2.0987600749e-01 -273324.406250 283.61
41000 2.357665 2.4395658166e-01 -273322.343750 315.27
41500 2.432060 2.9364554281e-01 -273323.218750 309.59
42000 2.373810 2.6994456664e-01 -273323.531250 311.49
42500 2.333560 2.6263423531e-01 -273323.156250 309.55
43000 2.495560 3.6370164713e-01 -273324.937500 304.92
43500 2.502193 3.7636320496e-01 -273324.562500 286.98
44000 2.414890 3.2289532201e-01 -273324.406250 287.86
44500 2.413771 3.3071665526e-01 -273324.593750 283.75
45000 2.436990 3.5337232001e-01 -273325.468750 302.43
45500 2.326166 2.9769570876e-01 -273323.687500 283.66
46000 2.425478 3.6125401915e-01 -273325.593750 300.02
46500 2.315910 3.0750830182e-01 -273325.000000 313.12
47000 2.069703 3.0054888009e-01 -273324.968750 287.88
47500 1.377157 1.5378284493e-03 -273323.375000 283.30
48000 1.261627 1.5455361535e-02 -273324.468750 326.02
